timestamp_utc,timestamp_europe_rome,session_anon,session_kind,transcript_seq,run_anon,provider,requested_model,response_model,input_tokens_reported,cache_read_tokens,cache_write_tokens,prompt_tokens_derived,uncached_input_tokens_derived,output_tokens,total_tokens_reported,recorded_cost_usd,request_payload_bytes,provider_latency_ms,first_response_ms,model_turn_interval_upper_bound_ms,run_total_duration_ms,assistant_tool_call_count,run_tool_call_count,memory_retrieval_tool_count,run_compaction_count,run_error,failover_model_changed_in_run,system_prompt_chars_run,bootstrap_context_chars_report,tool_schema_chars_report,skill_metadata_chars_report,conversation_chars,retrieved_memory_chars,hook_runtime_context_chars_report,context_report_source,source_event_seq
2026-09-15T16:39:42.566+00:00,2026-09-15T18:39:42.566+02:00,a28af8024a5c,heartbeat,4,87be12271228,openrouter,openrouter/auto,z-ai/glm-5.3-flash,13727,0,0,13727,13727,107,13834,0.0034927695,UNKNOWN,UNKNOWN,UNKNOWN,11501,16033,1,1,0,0,False,False,39307,,,,UNKNOWN,UNKNOWN,,,4
2026-09-15T16:39:50.177+00:00,2026-09-15T18:39:50.177+02:00,a28af8024a5c,heartbeat,7,87be12271228,openrouter,openrouter/auto,z-ai/glm-5.3-flash,18681,0,0,18681,18681,81,18762,0.0046957185,UNKNOWN,UNKNOWN,UNKNOWN,7190,16033,0,1,0,0,False,False,39307,,,,UNKNOWN,UNKNOWN,,,7
2026-09-15T17:09:47.475+00:00,2026-09-15T19:09:47.475+02:00,d98755284ecb,heartbeat,4,0a1405370320,openrouter,openrouter/auto,z-ai/glm-5.3-flash,13689,0,0,13689,13689,180,13869,0.0015893154585,UNKNOWN,UNKNOWN,UNKNOWN,16380,73029,1,4,0,0,False,False,39307,,,,UNKNOWN,UNKNOWN,,,4
2026-09-15T17:10:15.693+00:00,2026-09-15T19:10:15.693+02:00,d98755284ecb,heartbeat,7,0a1405370320,openrouter,openrouter/auto,z-ai/glm-5.3-flash,14613,0,0,14613,14613,164,14777,0.0022512105,UNKNOWN,UNKNOWN,UNKNOWN,27908,73029,1,4,0,0,False,False,39307,,,,UNKNOWN,UNKNOWN,,,7
2026-09-15T17:10:32.685+00:00,2026-09-15T19:10:32.685+02:00,d98755284ecb,heartbeat,10,0a1405370320,openrouter,openrouter/auto,z-ai/glm-5.3-flash,14949,0,0,14949,14949,410,15359,0.0018147344985,UNKNOWN,UNKNOWN,UNKNOWN,16782,73029,1,4,0,0,False,False,39307,,,,UNKNOWN,UNKNOWN,,,10
2026-09-15T17:10:40.545+00:00,2026-09-15T19:10:40.545+02:00,d98755284ecb,heartbeat,13,0a1405370320,openrouter,openrouter/auto,z-ai/glm-5.3-flash,2013,13568,0,15581,2013,242,15823,0.0006154458849,UNKNOWN,UNKNOWN,UNKNOWN,7795,73029,1,4,0,0,False,False,39307,,,,UNKNOWN,UNKNOWN,,,13
2026-09-15T17:10:45.833+00:00,2026-09-15T19:10:45.833+02:00,d98755284ecb,heartbeat,16,0a1405370320,openrouter,openrouter/auto,z-ai/glm-5.3-flash,2262,13568,0,15830,2262,4,15834,0.0005549015934,UNKNOWN,UNKNOWN,UNKNOWN,5102,73029,0,4,0,0,False,False,39307,,,,UNKNOWN,UNKNOWN,,,16
2026-09-15T17:39:41.468+00:00,2026-09-15T19:39:41.468+02:00,09348a499ff5,heartbeat,4,3184732ac375,openrouter,openrouter/auto,openai/gpt-5.6-luna,3,0,12873,12876,3,194,13070,0.0034171335,UNKNOWN,UNKNOWN,UNKNOWN,10329,10568,2,2,0,0,False,False,39307,,,,UNKNOWN,UNKNOWN,,,4
2026-09-15T17:39:44.768+00:00,2026-09-15T19:39:44.768+02:00,09348a499ff5,heartbeat,8,3184732ac375,openrouter,openrouter/auto,z-ai/glm-5.3-flash,22174,0,0,22174,22174,4,22178,0.003294819,UNKNOWN,UNKNOWN,UNKNOWN,2921,10568,0,2,0,0,False,True,39307,,,,UNKNOWN,UNKNOWN,,,8
2026-09-15T18:09:29.641+00:00,2026-09-15T20:09:29.641+02:00,d647795ec92e,heartbeat,4,2c53c4ad22ea,openrouter,openrouter/auto,openai/gpt-5.6-luna,3,0,12868,12871,3,198,13069,0.003420648,UNKNOWN,UNKNOWN,UNKNOWN,11516,46127,2,3,0,0,False,False,39307,,,,UNKNOWN,UNKNOWN,,,4
2026-09-15T18:10:01.424+00:00,2026-09-15T20:10:01.424+02:00,d647795ec92e,heartbeat,8,2c53c4ad22ea,openrouter,openrouter/auto,z-ai/glm-5.3-flash,14763,0,0,14763,14763,206,14969,0.0022942755,UNKNOWN,UNKNOWN,UNKNOWN,31391,46127,1,3,0,0,False,True,39307,,,,UNKNOWN,UNKNOWN,,,8
2026-09-15T18:10:07.177+00:00,2026-09-15T20:10:07.177+02:00,d647795ec92e,heartbeat,11,2c53c4ad22ea,openrouter,openrouter/auto,openai/gpt-5.6-luna,3,11438,9246,20687,3,26,20713,0.0025463394,UNKNOWN,UNKNOWN,UNKNOWN,5164,46127,0,3,0,0,False,True,39307,,,,UNKNOWN,UNKNOWN,,,11
2026-09-15T18:39:30.693+00:00,2026-09-15T20:39:30.693+02:00,a2a11588530d,heartbeat,4,34d43b279fb4,openrouter,openrouter/auto,deepseek/deepseek-v4-flash-0731,14465,0,0,14465,14465,246,14711,0.0009006500448,UNKNOWN,UNKNOWN,UNKNOWN,12417,20716,1,3,0,0,False,False,39307,,,,UNKNOWN,UNKNOWN,,,4
